id,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,ocupacion_estimada,tipo_tenedor,superhost
51732294,Centro,40.41561,-3.69917,Entire rental unit,4,1.0,1.0,2.0,$155.00,1,60,120,4.54,4.6,4.66,4.79,4.81,4.9,4.5,26,216,Gran tenedor (>20),0
51740316,Centro,40.42614,-3.70776,Entire rental unit,4,1.0,1.0,2.0,$95.00,1,1125,194,4.74,4.81,4.84,4.86,4.78,4.93,4.68,92,42,Gran tenedor (>20),0
51740771,Centro,40.4247,-3.70972,Entire rental unit,4,1.0,1.0,2.0,$95.00,1,1125,111,4.66,4.77,4.55,4.77,4.77,4.87,4.61,92,45,Gran tenedor (>20),0
51741291,Centro,40.4264,-3.70957,Entire rental unit,4,1.0,1.0,2.0,$46.00,1,1125,124,4.67,4.77,4.69,4.83,4.77,4.9,4.62,92,26,Gran tenedor (>20),0
51741861,Centro,40.42478,-3.70838,Entire rental unit,4,1.0,1.0,2.0,$46.00,1,1125,105,4.64,4.75,4.55,4.76,4.77,4.94,4.55,92,17,Gran tenedor (>20),0
51742237,Centro,40.42635,-3.7082,Entire rental unit,2,1.0,1.0,1.0,$65.00,1,1125,144,4.74,4.81,4.66,4.84,4.75,4.92,4.6,92,29,Gran tenedor (>20),0
51742777,Centro,40.42682,-3.70813,Entire rental unit,4,1.0,1.0,2.0,$102.00,1,1125,140,4.67,4.66,4.56,4.82,4.74,4.87,4.59,92,20,Gran tenedor (>20),0
51745261,Villaverde,40.33343505859375,-3.702780961990357,Entire rental unit,3,,,,,3,1125,20,4.65,4.75,4.8,4.75,4.75,4.55,4.55,19,363,Profesional (6-20),0
51752669,Carabanchel,40.39217,-3.72393,Private room in rental unit,1,1.5,1.0,1.0,$40.00,1,365,43,4.81,4.84,4.81,4.91,4.88,4.6,4.81,1,109,Pequeño (1),0
51757786,Centro,40.42471,-3.70999,Entire rental unit,2,1.0,1.0,1.0,$85.00,1,1125,202,4.73,4.78,4.77,4.86,4.76,4.93,4.65,92,25,Gran tenedor (>20),0
51758534,Centro,40.42323,-3.70178,Entire rental unit,2,0.0,1.0,1.0,$170.00,31,365,0,,,,,,,,384,141,Gran tenedor (>20),0
51758714,Centro,40.42633,-3.70994,Entire rental unit,2,1.0,1.0,1.0,$85.00,1,1125,118,4.76,4.85,4.72,4.89,4.77,4.97,4.69,92,20,Gran tenedor (>20),0
51759127,Centro,40.42456,-3.70806,Entire rental unit,2,1.0,1.0,1.0,$106.00,1,1125,222,4.66,4.82,4.64,4.86,4.79,4.95,4.51,92,17,Gran tenedor (>20),0
51761212,Centro,40.42426434561656,-3.70005269424314,Entire rental unit,6,2.0,2.0,4.0,$245.00,1,1125,190,4.88,4.88,4.88,4.86,4.93,4.94,4.8,3,68,Mediano (2-5),1
