"host_id","hosts_time_as_host_years","host_location","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","minimum_nights","maximum_nights","availability_365","license","calculated_host_listings_count","calculated_host_listings_count_entire_homes","ocupacion_estimada","tipo_tenedor","superhost"
407597998,4,"Andalusia, Spain","t","",18,20,"la Dreta de l'Eixample","Eixample",41.39975,2.16482,1,93,339,"Barcelona - Regional registration number<br />HUTB-006918",3,3,26,"Mediano (2-5)",1
247597015,6,"","t","Vila de Gràcia",3,10,"la Dreta de l'Eixample","Eixample",41.39744,2.16167,1,1125,334,"Barcelona - Regional registration number<br />HB-004560<br /><br />Spain - National registration number<br />Exempt",3,0,31,"Mediano (2-5)",1
158286631,7,"Spain","t","El Raval",12,46,"el Raval","Ciutat Vella",41.38111,2.17309,32,60,38,"Barcelona - Regional registration number<br />HUTB-001823<br /><br />Spain - National registration number<br />ESFCNT00000805600006946100000000000000000000000000004",4,0,327,"Mediano (2-5)",1
247597015,6,"","t","Vila de Gràcia",3,10,"la Vila de Gràcia","Gràcia",41.39947,2.16137,1,1125,344,"Barcelona - Regional registration number<br />HB-004560<br /><br />Spain - National registration number<br />Exempt",3,0,21,"Mediano (2-5)",1
247597015,6,"","t","Vila de Gràcia",3,10,"la Vila de Gràcia","Gràcia",41.39885,2.16145,1,1125,322,"Barcelona - Regional registration number<br />HB-004560<br /><br />Spain - National registration number<br />Exempt",3,0,43,"Mediano (2-5)",1
142815059,6,"Barcelona, Spain","t","",2,4,"la Dreta de l'Eixample","Eixample",41.38562,2.16864,2,31,25,"",2,0,340,"Mediano (2-5)",1
73546,14,"El Masnou, Spain","f","Vila de Gràcia",6,7,"la Vila de Gràcia","Gràcia",41.39834,2.16068,31,1125,246,"",2,2,119,"Mediano (2-5)",0
2688205,13,"Barcelona, Spain","t","La Nova Esquerra de l'Eixample",13,13,"el Poble Sec","Sants-Montjuïc",41.37276,2.16277,3,1125,316,"Barcelona - Regional registration number<br />HUTB-007542<br /><br />Spain - National registration number<br />ESFCTU00000806900030075800000000000000000HUTB-0075426",13,13,49,"Profesional (6-20)",1
10704,13,"Barcelona, Spain","f","Les Corts",45,74,"la Dreta de l'Eixample","Eixample",41.39207,2.17046,1,1125,248,"Spain - National registration number<br />ESHFTU00000805400020784800200000000000000HUTB-0019861",31,26,117,"Gran tenedor (>20)",0
10704,13,"Barcelona, Spain","f","Les Corts",45,74,"la Dreta de l'Eixample","Eixample",41.39207,2.17046,1,1125,243,"Spain - National registration number<br />ESHFTU00000805400020784800900000000000000HUTB-0549156",31,26,122,"Gran tenedor (>20)",0
10704,13,"Barcelona, Spain","f","Les Corts",45,74,"la Dreta de l'Eixample","Eixample",41.39207,2.17046,1,1125,263,"Spain - National registration number<br />ESHFTU00000805400020784800100000000000000HUTB-0019893",31,26,102,"Gran tenedor (>20)",0
50291804,10,"Barcelona, Spain","t","Sant Antoni",2,2,"la Dreta de l'Eixample","Eixample",41.3992,2.17145,31,240,332,"",2,2,33,"Mediano (2-5)",1
131178104,6,"Barcelona, Spain","f","",3,5,"el Poblenou","Sant Martí",41.4038,2.20539,31,365,270,"",2,1,95,"Mediano (2-5)",0
31590085,10,"Barcelona, Spain","t","El Poblenou",2,3,"el Poblenou","Sant Martí",41.39887,2.20562,2,1125,341,"Spain - National registration number<br />ESFCTU00000807200033379400000000000000000HUTB-0092003",1,1,24,"Pequeño (1)",1
2439400,13,"Barcelona, Spain","f","La Sagrada Família",28,96,"la Dreta de l'Eixample","Eixample",41.39843,2.16607,1,1125,356,"Barcelona - Regional registration number<br />HUTB-010889",27,27,9,"Gran tenedor (>20)",0
57224574,9,"","f","",3,3,"la Font de la Guatlla","Sants-Montjuïc",41.36969,2.14517,1,1125,354,"Barcelona - Regional registration number<br />HUTB-004497<br /><br />Spain - National registration number<br />ESHFTU000008068000159526001000000000000HUTB-004500742",3,1,11,"Mediano (2-5)",0
57224574,9,"","f","",3,3,"la Font de la Guatlla","Sants-Montjuïc",41.37091,2.14525,1,1125,363,"Barcelona - Regional registration number<br />HUTB-004502<br /><br />Spain - National registration number<br />ESFCTU00000806800015952600000000000000HUTB-075717-518",3,1,2,"Mediano (2-5)",0
249829780,6,"","t","Dreta de l'Eixample",4,7,"la Dreta de l'Eixample","Eixample",41.39194,2.1746,1,999,303,"Spain - National registration number<br />ESFCTU00000805400013516500000000000000000HUTB-0068260<br /><br />Barcelona - Regional registration number<br />HUTB-006826",4,4,62,"Mediano (2-5)",1
249829780,6,"","t","Dreta de l'Eixample",4,7,"la Dreta de l'Eixample","Eixample",41.3876674140821,2.16603763974025,1,999,314,"Spain - National registration number<br />ESFCTU00000805600035820900000000000000000HUTB-0056975<br /><br />Barcelona - Regional registration number<br />HUTB-005697",4,4,51,"Mediano (2-5)",1
157746231,8,"Catalonia, Spain","f","El Poble-sec",19,27,"la Sagrada Família","Eixample",41.40515,2.18206,32,1125,237,"",17,17,128,"Profesional (6-20)",0
1766283,13,"Barcelona, Spain","f","",15,15,"la Sagrada Família","Eixample",41.40574,2.17408,4,190,319,"Barcelona - Regional registration number<br />HUTB-007325",3,3,46,"Mediano (2-5)",0
250036779,6,"","t","Dreta de l'Eixample",6,6,"la Dreta de l'Eixample","Eixample",41.39625,2.16245,1,1125,322,"Spain - National registration number<br />ESFCTU00000805700032275700000000000000000HUTB-0060576<br /><br />Barcelona - Regional registration number<br />HUTB-006057",6,6,43,"Profesional (6-20)",1
250036779,6,"","t","Dreta de l'Eixample",6,6,"la Dreta de l'Eixample","Eixample",41.38615,2.16662,1,999,335,"Spain - National registration number<br />ESFCTU00000805600028852000000000000000000HUTB-0057659<br /><br />Barcelona - Regional registration number<br />HUTB-005765",6,6,30,"Profesional (6-20)",1
250036779,6,"","t","Dreta de l'Eixample",6,6,"la Dreta de l'Eixample","Eixample",41.39651,2.17427,1,1125,333,"Spain - National registration number<br />ESFCTU00000805400028706200000000000000000HUTB-0064730<br /><br />Barcelona - Regional registration number<br />HUTB-006473",6,6,32,"Profesional (6-20)",1
250036779,6,"","t","Dreta de l'Eixample",6,6,"el Fort Pienc","Eixample",41.39558,2.17942,1,999,136,"Spain - National registration number<br />ESFCTU00000805400039623800000000000000000HUTB-0038812<br /><br />Barcelona - Regional registration number<br />HUTB-003881",6,6,229,"Profesional (6-20)",1
250093014,6,"Barcelona, Spain","f","L'Antiga Esquerra de l'Eixample",16,17,"l'Antiga Esquerra de l'Eixample","Eixample",41.39118,2.15882,1,365,192,"Spain - National registration number<br />ESHFNT00000805600030445900100000000000000000000000001",16,12,173,"Profesional (6-20)",0
59348511,9,"Barcelona, Spain","f","El Raval",3,6,"el Raval","Ciutat Vella",41.3845710754395,2.16653394699097,32,120,89,"",1,1,276,"Pequeño (1)",0
250448552,6,"Barcelona, Spain","t","",1,1,"el Raval","Ciutat Vella",41.3791,2.17099,32,1125,190,"",1,0,175,"Pequeño (1)",1
35936647,10,"Barcelona, Spain","t","Sant Antoni",44,44,"el Putxet i el Farró","Sarrià-Sant Gervasi",41.4033355712891,2.14608001708984,1,365,351,"Barcelona - Regional registration number<br />HUTB-004330<br /><br />Spain - National registration number<br />ESHFTU00000805900050318101200000000000000HUTB-0043300",44,44,14,"Gran tenedor (>20)",1
250688528,6,"","f","Sant Gervasi - la Bonanova",1,1,"Sant Gervasi - la Bonanova","Sarrià-Sant Gervasi",41.40545,2.13511,31,1125,362,"",1,0,3,"Pequeño (1)",0
55076106,6,"Barcelona, Spain","t","El Poblenou",2,2,"el Poblenou","Sant Martí",41.39958,2.20441,3,15,228,"Spain - National registration number<br />ESFCTU00000807200037374500000000000000000HUTB-0032771",1,1,137,"Pequeño (1)",1
93980127,2,"Barcelona, Spain","f","",1,1,"la Sagrada Família","Eixample",41.4112502365293,2.17442126543576,31,365,363,"",1,0,2,"Pequeño (1)",0
81232989,9,"","t","",6,6,"la Dreta de l'Eixample","Eixample",41.3926849365234,2.17305588722229,1,1125,295,"Barcelona - Regional registration number<br />HB004642",6,0,70,"Profesional (6-20)",1
81232989,9,"","t","",6,6,"la Dreta de l'Eixample","Eixample",41.3926849365234,2.17305588722229,1,1125,266,"Barcelona - Regional registration number<br />HB004642",6,0,99,"Profesional (6-20)",1
81232989,9,"","t","",6,6,"la Dreta de l'Eixample","Eixample",41.3926849365234,2.17305588722229,1,1125,258,"Barcelona - Regional registration number<br />HB004642",6,0,107,"Profesional (6-20)",1
81232989,9,"","t","",6,6,"la Dreta de l'Eixample","Eixample",41.3926849365234,2.17305588722229,1,1125,292,"Barcelona - Regional registration number<br />HB004642",6,0,73,"Profesional (6-20)",1
1212100,14,"Barcelona, Spain","f","",1,3,"el Fort Pienc","Eixample",41.40028,2.18059,3,32,1,"",1,0,364,"Pequeño (1)",0
29157943,8,"Barcelona, Spain","f","Les Corts",10,22,"Sants - Badal","Sants-Montjuïc",41.37516,2.12849,1,365,325,"Spain - National registration number<br />ESFCTU00000806500037494200000000000000000HUTB-0080224",2,2,40,"Mediano (2-5)",0
14580203,11,"Barcelona, Spain","t","La Nova Esquerra de l'Eixample",8,8,"el Poble Sec","Sants-Montjuïc",41.37356,2.16441,2,200,92,"Barcelona - Regional registration number<br />HUTB-010430<br /><br />Spain - National registration number<br />ESFCNT00000806900043530600000000000000000000000000003",6,2,273,"Profesional (6-20)",1
555252525,1,"","f","",5,5,"Sant Antoni","Eixample",41.37936,2.15878,4,30,180,"Spain - National registration number<br />ESFCTU00000806700012502900000000000000000HUTB-0099983",5,5,185,"Mediano (2-5)",0
1986299,14,"Barcelona, Spain","f","Dreta de l'Eixample",43,43,"el Poble Sec","Sants-Montjuïc",41.37369,2.16465,1,365,144,"Spain - National registration number<br />ESFCTU00000806900037639500000000000000000HUTB-0097411<br /><br />Barcelona - Regional registration number<br />HUTB-009741",28,28,221,"Gran tenedor (>20)",0
5264883,11,"Barcelona, Spain","f","Dreta de l'Eixample",46,97,"el Barri Gòtic","Ciutat Vella",41.37861,2.178003,32,365,166,"",27,27,199,"Gran tenedor (>20)",0
6273476,9,"Barcelona, Spain","f","",1,3,"el Poblenou","Sant Martí",41.39699,2.20039,31,1125,40,"",1,1,325,"Pequeño (1)",0
771458,12,"Barcelona, Spain","f","Sant Pere/Santa Caterina",14,24,"Sant Antoni","Eixample",41.38029,2.15664,32,365,328,"",13,0,37,"Profesional (6-20)",0
35936647,10,"Barcelona, Spain","t","Sant Antoni",44,44,"l'Antiga Esquerra de l'Eixample","Eixample",41.3870315551758,2.15681505203247,1,365,343,"Barcelona - Regional registration number<br />HUTB-004234<br /><br />Spain - National registration number<br />ESHFTU00000806000002825301000000000000000HUTB-0042347",44,44,22,"Gran tenedor (>20)",1
10897727,6,"Barcelona, Spain","f","Sants-Montjuïc",1,1,"la Marina de Port","Sants-Montjuïc",41.36016,2.13644,31,31,365,"",1,0,0,"Pequeño (1)",0
54320669,9,"Barcelona, Spain","f","el Fort Pienc",18,18,"Sants - Badal","Sants-Montjuïc",41.37747,2.12784,1,365,297,"Spain - National registration number<br />ESFCTU00000806500014270100000000000000000HUTB-0143659<br /><br />Barcelona - Regional registration number<br />HUTB-014365",14,14,68,"Profesional (6-20)",0
253190544,6,"Barcelona, Spain","f","",1,1,"el Barri Gòtic","Ciutat Vella",41.38123,2.17948,32,1125,179,"",1,0,186,"Pequeño (1)",0
